Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
А24-1,Машер В.В.,1.2,Разговоры о важном,207,08.00 - 08.35,
А24-1,Волчихин К.А.,1.2,ОГСЭ.04 Физическая культура,с/з,8.45-9.30 9.50-10.35,27.04.2026
А24-1,Кузнецов Н.В.,1.2,"ОПЦ.03 Основы механизации, электрификации и автоматизации сельскохозяйственного производства",202,10.55-11.40 12.05-12.50,27.04.2026
А24-1,Кузнецов Н.В.,1.2,"ОПЦ.03 Основы механизации, электрификации и автоматизации сельскохозяйственного производства",202,13.05-13.50 14.00-14.45,27.04.2026
Д24-5,Зылёва Я.Ф.,1.2,Разговоры о важном,139,08.00 - 08.35,27.04.2026
Д24-5,Зылёва Я.Ф.,1.2,МДК.01.01 Документационное обеспечение управления,136,8.45-9.30 9.50-10.35,27.04.2026
Д24-5,Зылёва Я.Ф.,1.2,МДК.01.01 Документационное обеспечение управления,136,10.55-11.40 12.05-12.50,27.04.2026
Д24-5,Васькина Н.И.,1.2,МДК.01.03 Организация секретарского обслуживания,136,13.05-13.50 14.00-14.45,27.04.2026
ДО22-5,Бабкина М.В.,1.2,"ПП.05.01 Производственная практика ""Методическое обеспечение образовательного процесса""",,8.45-9.30 9.50-10.35,27.04.2026
ДО22-5,Бабкина М.В.,1.2,"ПП.05.01 Производственная практика ""Методическое обеспечение образовательного процесса""",,10.55-11.40 12.05-12.50,27.04.2026
ДО22-5,Бабкина М.В.,1.2,"ПП.05.01 Производственная практика ""Методическое обеспечение образовательного процесса""",,13.05-13.50 14.00-14.45,27.04.2026
ДО24-6,Григораш А.В.,1.2,Разговоры о важном,150,08.00 - 08.35,27.04.2026
ДО24-6,Мартемьянова С.В.,1.2,МДК.02.04 Практикум по художественной обработке материалов и изобразительному искусству,250,8.45-9.30 9.50-10.35,27.04.2026
ДО24-6,Мартемьянова С.В.,1.2,МДК.02.02 Теоретические и методические основы организации игровой деятельности детей раннего и дошкольного возраста,250,10.55-11.40 12.05-12.50,27.04.2026
ДО24-6,Мартемьянова С.В.,1.2,МДК.02.04 Практикум по художественной обработке материалов и изобразительному искусству,250,13.05-13.50 14.00-14.45,27.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.45-9.30 9.50-10.35,27.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.55-11.40 12.05-12.50,27.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,13.05-13.50 14.00-14.45,27.04.2026
ПКД24-4,Начметдинов Р.О.,1.2,Разговоры о важном,209,08.00 - 08.35,27.04.2026
ПКД24-4,Полякова М.В.,1.2,БД.03 История,250а,8.45-9.30 9.50-10.35,27.04.2026
ПКД24-4,Григораш А.В.,1.2,ПД.13 Биология,150,10.55-11.40 12.05-12.50,27.04.2026
ПКД24-4,Мещерякова Д.М.,1.2,"МДК.03.02 Процессы приготовления, подготовки к реализации холодных блюд, кулинарных изделий, закусок сложного ассортимента",121,13.05-13.50 14.00-14.45,27.04.2026
ПП24-15,Богданов М.В.,1.2,Разговоры о важном,203,08.00 - 08.35,27.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,8.45-9.30 9.50-10.35,27.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,10.55-11.40 12.05-12.50,27.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,13.05-13.50 14.00-14.45,27.04.2026
ПП24-16,Мещерякова Д.М.,1.2,Разговоры о важном,121,08.00 - 08.35,27.04.2026
ПП24-16,Бакланова Е.В.,1.2,"УП.05 Учебная практика ""Приготовление, оформление и подготовка к реализации хлебобулочных, мучных кондитерских изделий разнообразного ассортимента""",лабор,8.45-9.30 9.50-10.35,27.04.2026
ПП24-16,Бакланова Е.В.,1.2,"УП.05 Учебная практика ""Приготовление, оформление и подготовка к реализации хлебобулочных, мучных кондитерских изделий разнообразного ассортимента""",лабор,10.55-11.40 12.05-12.50,27.04.2026
ПП24-16,Бакланова Е.В.,1.2,"УП.05 Учебная практика ""Приготовление, оформление и подготовка к реализации хлебобулочных, мучных кондитерских изделий разнообразного ассортимента""",лабор,13.05-13.50 14.00-14.45,27.04.2026
ПП25-17,Коробова Ю.А.,1.2,Разговоры о важном,245,08.00 - 08.35,27.04.2026
ПП25-17,Богданова О.А.,1.2,АДП.01 Коммуникативный практикум,библ,8.45-9.30 9.50-10.35,27.04.2026
ПП25-17,Абакумов А.В.,1.2,ОП.01 Чтение чертежей,140а,10.55-11.40 12.05-12.50,27.04.2026
ПП25-17,Шошин Н.А.,1.2,ОП.08 Физическая культура (адаптивная),с/з,13.05-13.50 14.00-14.45,27.04.2026
ПП25-18,Деньгуб А.А.,1.2,Разговоры о важном,135,08.00 - 08.35,27.04.2026
ПП25-18,Шошин Н.А.,1.2,ОП.06 Физическая культура (адаптивная),с/з,8.45-9.30 9.50-10.35,27.04.2026
