"Группа","Преподаватель","Подгруппа","Дисциплина","Кабинет","Время","Дата"
"А24-1","Машер В.В.","1.2","Разговоры о важном","207","14.00-14.35","07.09.2026"
"А24-1","Бакланова Е.В.","1.2","МДК.02.01 Защита растений","122","14.45-15.20 15.40-16.15","07.09.2026"
"Д24-5","Зылёва Я.Ф.","1.2","Разговоры о важном","136","14.00-14.35","07.09.2026"
"Д24-5","Зылёва Я.Ф.","1.2","МДК.02.01 Организация и нормативно-правовые основы архивного дела","136","14.45-15.20 15.40-16.15","07.09.2026"
"ДО24-6","Григораш А.В.","1.2","Разговоры о важном","135","14.00-14.35","07.09.2026"
"ДО24-6","Мартемьянова С.В.","1.2","ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями","250","14.45-15.20 15.40-16.15","07.09.2026"
"ДО26-7","Мартемьянова С.В.","1.2","Разговоры о важном","250","14.00-14.35","07.09.2026"
"ДО26-7","Богданов М.В.","1.2","ОУП.07 Химия","203","14.45-15.20 15.40-16.15","07.09.2026"
"ПКД24-4","Пуртова А.В.","1.2","Разговоры о важном","240","14.00-14.35","07.09.2026"
"ПКД24-4","Лунина Н.Н.","1.2","ОП.12 Основы финансовой грамотности и предпринимательской деятельности","библ","14.45-15.20 15.40-16.15","07.09.2026"
"ПКД26-5","Панфилова О.Л.","1.2","Разговоры о важном","125","14.00-14.35","07.09.2026"
"ПКД26-5","Еськова И.П.","1.2","ПД.11 Математика","206","14.45-15.20 15.40-16.15","07.09.2026"
"ПП25-17","Коробова Ю.А.","1.2","Разговоры о важном","245","8.00-8.35","07.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","8.45-9.20 9.40-10.15","07.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","10.35-11.10 11.30-12.05","07.09.2026"
"ПП25-17","Глыдов В.Н.","1.2","УП.01.01 Учебная практика ""Выполнение регламентных работ по поддержанию автотранспортных средств в исправном состоянии""","104","12.15-12.50 13.00-13.35","07.09.2026"
"ПП25-18","Деньгуб А.А.","1.2","Разговоры о важном","9 общ ПК","8.00-8.35","07.09.2026"
"ПП25-18","Деньгуб А.А.","1.2","МДК.02.01 Технологии публикации цифровой мультимедийной информации","135","8.45-9.20 9.40-10.15","07.09.2026"
"ПП25-18","Деньгуб А.А.","1.2","МДК.02.01 Технологии публикации цифровой мультимедийной информации","135","10.35-11.10 11.30-12.05","07.09.2026"
"ПП25-18","Зылёв А.Д.","1.2","АДП. 03 Адаптивные информационные и коммуникационные технологии","136","12.15-12.50 13.00-13.35","07.09.2026"
"ПП26-19","Фазылов Р.Ю.","1.2","Разговоры о важном","242","8.00-8.35","07.09.2026"
"ПП26-19","Рубкалева А.Р.","1.2","АДП.01 Коммуникативный практикум","247","8.45-9.20 9.40-10.15","07.09.2026"
"ПП26-19","Богданов М.В.","1.2","ОП.01Ботаника и физиология растений","203","10.35-11.10 11.30-12.05","07.09.2026"
"ПП26-19","Богданов М.В.","1.2","ОП.01Ботаника и физиология растений","203","12.15-12.50 13.00-13.35","07.09.2026"
"ПП26-20","Ефимов А.Н.","1.2","Разговоры о важном","140а","8.00-8.35","07.09.2026"
"ПП26-20","Ефимов А.Н.","1.2","ОП.02 Основы материаловедения","140а","8.45-9.20 9.40-10.15","07.09.2026"
"ПП26-20","Ефимов А.Н.","1.2","ОП.03 Основы технологии отделочных строительных работ","140а","10.35-11.10 11.30-12.05","07.09.2026"
"ПП26-21","Бабкина М.В.","1.2","Разговоры о важном","М. Студия","8.00-8.35","07.09.2026"
"ПП26-21","Богданова О.А.","1.2","АДП.01 Коммуникативный практикум","библ","8.45-9.20 9.40-10.15","07.09.2026"
"ПП26-21","Лунина Н.Н.","1.2","ОП.03 Основы материаловедения","библ","10.35-11.10 11.30-12.05","07.09.2026"
"ПП26-21","Лунина Н.Н.","1.2","ОП.03 Основы материаловедения","библ","12.15-12.50 13.00-13.35","07.09.2026"
"ПП26-22","Малушкин А.В.","1.2","Разговоры о важном","135","8.00-8.35","07.09.2026"
"ПП26-22","Малушкин А.В.","1.2","МДК.01.01 Технологии создания и обработки мультимедийной информации","9 общ ПК","8.45-9.20 9.40-10.15","07.09.2026"
"ПП26-22","Малушкин А.В.","1.2","МДК.01.01 Технологии создания и обработки мультимедийной информации","9 общ ПК","10.35-11.10 11.30-12.05","07.09.2026"
"ПП26-22","Бычихина Н.А.","1.2","АДП.02 Социальная адаптация и основы социально-правовых знаний","239","12.15-12.50 13.00-13.35","07.09.2026"
"СС25-3","Богданова О.А.","1.2","Разговоры о важном","209","14.00-14.35","07.09.2026"
"СС25-3","Бурундуков Е.В.","1.2","БД.10 Биология","112","14.45-15.20 15.40-16.15","07.09.2026"
"СС26-4","Полякова М.В.","1.2","Разговоры о важном","библ","14.00-14.35","07.09.2026"
"СС26-4","Машер В.В.","1.2","ПОО.02 Введение в специальность","207","14.45-15.20 15.40-16.15","07.09.2026"
"ТОд23-1","Григораш С.В.","1.2","Разговоры о важном","117","14.00-14.35","07.09.2026"
"ТОд23-1","Пилипук В.А.","1.2","МДК.03.02 Организация работ по модернизации автотранспортных средств","117","14.45-15.20 15.40-16.15","07.09.2026"
"Э25-6","Русских Ю.В.","1.2","Разговоры о важном","245","14.00-14.35","07.09.2026"
"Э25-6","Дьячкова Е.Р.","1.2","МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования","245","14.45-15.20 15.40-16.15","07.09.2026"
"ЭСХ23-4","Волчихин К.А.","1.2","Разговоры о важном","с/з","14.00-14.35","07.09.2026"
"ЭСХ23-4","Болдырева Н.Н.","1.2","ОП.19 Правила оказания первой помощи при дорожно-транспортном происшествии","121","14.45-15.20 15.40-16.15","07.09.2026"
"ЭСХ25-5","Бабкина Е.И.","1.2","Разговоры о важном","239","14.00-14.35","07.09.2026"
"ЭСХ25-5","Кузнецов Н.В.","1.2","МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.","202","14.45-15.20 15.40-16.15","07.09.2026"
"2367","Мещерякова Д.М.","1.2","Разговоры о важном","117","8.00-8.35","07.09.2026"
"2367","Мещерякова Д.М.","1.2","ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни","122","8.45-9.20 9.40-10.15","07.09.2026"
"2367","Мещерякова Д.М.","1.2","ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни"," ","10.35-11.10 11.30-12.05","07.09.2026"
"2367","Волчихин К.А.","1.2","ОПЦ.09 Физическая культура","с/з","12.15-12.50 13.00-13.35","07.09.2026"
"2577","Вахрамеева С.Н.","1.2","Разговоры о важном","206","8.00-8.35","07.09.2026"
"2577","Волчихин К.А.","1.2","СГ.04 Физическая культура","с/з","8.45-9.20 9.40-10.15","07.09.2026"
"2577","Коробова Ю.А.","1.2","ОП.04 Основы бизнеса, коммуникаций и финансовой грамотности","245","10.35-11.10 11.30-12.05","07.09.2026"
"2577","Коробова Ю.А.","1.2","ОП.04 Основы бизнеса, коммуникаций и финансовой грамотности","245","12.15-12.50 13.00-13.35","07.09.2026"
"2578","Бакланова Е.В.","1.2","Разговоры о важном","122","8.00-8.35","07.09.2026"
"2578","Вахрамеева С.Н.","1.2","ОДП.13 Физика","206","8.45-9.20 9.40-10.15","07.09.2026"
"2578","Шмелёва А.В.","1.2","ОДП.11 Математика","247","10.35-11.10 11.30-12.05","07.09.2026"
"2578","Бурундуков Е.В.","1.2","ОДБ.10 Биология","240","12.15-12.50 13.00-13.35","07.09.2026"
"2579","Рубкалева А.Р.","1.2","Разговоры о важном","209","8.00-8.35","07.09.2026"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","8.45-9.20 9.40-10.15","07.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","8.45-9.20 9.40-10.15","07.09.2026"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","10.35-11.10 11.30-12.05","07.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","10.35-11.10 11.30-12.05","07.09.2026"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","12.15-12.50 13.00-13.35","07.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","12.15-12.50 13.00-13.35","07.09.2026"
"2580","Бурундуков Е.В.","1.2","Разговоры о важном","139","8.00-8.35","07.09.2026"
"2580","Григораш А.В.","1.2","ОДБ.05 География","239","8.45-9.20 9.40-10.15","07.09.2026"
"2580","Вахрамеева С.Н.","1.2","ОДП.13 Физика","206","10.35-11.10 11.30-12.05","07.09.2026"
"2580","Вахрамеева С.Н.","1.2","ОДП.13 Физика","206","12.15-12.50 13.00-13.35","07.09.2026"
"2581","Романовская Е.В.","1.2","Разговоры о важном","247","8.00-8.35","07.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","8.45-9.20 9.40-10.15","07.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","8.45-9.20 9.40-10.15","07.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","10.35-11.10 11.30-12.05","07.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","10.35-11.10 11.30-12.05","07.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","12.15-12.50 13.00-13.35","07.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","12.15-12.50 13.00-13.35","07.09.2026"
"2582","Седякина Д.Ю.","1.2","Разговоры о важном","133","8.00-8.35","07.09.2026"
"2582","Улыбина Н.Г.","1.2","МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок","121","8.45-9.20 9.40-10.15","07.09.2026"
"2582","Улыбина Н.Г.","1.2","МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок","121","10.35-11.10 11.30-12.05","07.09.2026"
